image_id,Macroalgae,Rubble,Crustose coralline algae,Bare substrate,Sand,Turf algae,Porites,Hard coral,Soft coral,Acropora,Tape,Pocillopora,Dead coral,Montipora,Cyanobacteria,Sponge
00059a47-03b8-47f3-adf6-3ab5616922cf,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1
00086e76-2b0d-48ff-a25b-31020c226047,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
00138e67-611c-4e04-a382-46e0484f2f95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
001580fa-3324-4053-a74b-c5ef08d49d07,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
001f365c-e6f9-4ce2-a68b-6fe493ed80a6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
001fabba-820e-4ae4-821e-0150cc013f41,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0
0032dba6-8357-42e2-bace-988f99032286,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
003e151e-b3c3-419f-9453-c968c88d4870,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
004ed958-bdd4-453d-83ed-bf773c78bfc8,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0
0055f123-0b6a-4c30-ac51-db7345abd320,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
0055fc63-bcce-485b-bb3b-5384c08ad87f,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0072906a-2d45-41ee-84ab-855d5f740028,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
00751fc7-b295-4a46-8576-745a94274168,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0
0076c1b6-dd8a-4742-829b-e5480b60db5a,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
007e2898-f644-42bc-926e-86a08b8c7b1a,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
00843672-9943-46ae-b77a-acb5770f8afb,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
008ccb28-1b6c-4f7a-ac2c-0921745d9e41,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
00938ce1-cc82-4f8d-ae40-db8b10d63ce6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
009b60a4-09c5-49cf-870e-5a0c01702972,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
00a8171e-32e2-48a5-91b1-74095feb4713,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
00ad9316-b191-4c15-bee2-7e6f9313989d,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
00cee838-bf3a-4e04-8bd3-0cb0362c939e,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0
00d067f4-f93b-4728-ab52-e0ba32b83635,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
00d6100f-1bc5-42d7-b249-b292c990a130,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
00d6ad04-2be2-41db-bbca-93173fc2b205,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
00da6fa1-9b9c-4a59-bbcb-d9c0271cc3b0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
00dabf19-1d9a-44a8-b1f9-e4495e6f008f,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0103e2eb-16e5-4bad-b341-3ce746308cee,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0
011011fb-9702-4842-8d88-3b5b4b9deedc,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
01121fc7-85f7-4d1c-acc1-ba9ce6a63d60,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0124737d-da11-48e7-8c98-3499f49a6232,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
01325251-1985-495f-a741-7daa90c23d4b,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
01350d84-802b-4a6a-9733-2ff9ab790bf4,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
013697c4-33cd-4924-912d-642731a093e3,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
0150d437-bab4-45c7-beae-fa432c2a1282,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01746896-c721-4dda-97ad-666687afce67,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
01917d64-4dd5-4609-971a-bcaf27507684,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
019bbca9-b469-4609-a31b-ddf70c99674c,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
01bee0f8-ff0a-47fe-aafd-603709bf419f,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
01c92ca3-3c43-4472-84ea-640a3587e18f,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
01c9b732-efbb-43e6-9927-ece2206952d3,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
01ca3235-9d06-4ad1-8534-778ca5c7a7af,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
01ed091b-056a-40ed-a00e-7f4abdaf92c1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
01f23c66-fa42-4886-81f3-826815b9b1eb,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
01f34799-8ada-4137-b6e3-3dbc6e5abde6,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0
0215fdb9-5988-4f33-87c4-17793a1138e6,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0
023a5ddd-a95a-4753-9c23-ccbf020b7c98,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
